id;airline_name;incidents;last_incident_dt;fleet_age;fleet_size;rate_incidents;fatalities;profitability;IOSA_certification;ICAO_country_audit_pass;pilot_training;low_cost
41;Sun Country Airlines;0;NULL;17,5;57;0;0;0,1;1;1;Sun Country Airlines offers pilot training programs such as the Sun Country Direct Program, the College Bridge Program, and an in-house training program.;1
42;WestJet;2;2018-01-05;9,2;200;0,00012;0;0,18;1;1;"WestJet offers pilot training through its Flightpath Pilot Program at its campus in Calgary, Alberta. ";1
43;JetBlue Airways;2;2022-01-22;12,5;290;0,00014;0;-0,36;1;1;JetBlue Airways offers pilot training programs through its Gateway program.;1
44;Air Arabia;1;2006-05-05;9,9;68;0;0;0,14;1;1;Air Arabia offers pilot training through its A320 Airline Pilot Training Programme and its MPL Cadet Pilot Program.;1
45;IndiGo;1;2009-02-01;4,6;393;0;0;0,17;1;1;IndiGo Airlines offers pilot training through the IndiGo Cadet Pilot Program.;1
46;Eurowings;1;1998-02-22;9;100;0,00012;0;-0,03;1;1;Eurowings does not offer pilot training.;1
47;Allegiant Air;1;2007-03-29;14,7;127;0,00035;0;0,17;0;1;Allegiant Air has pilot training programs, including the Altitude Pilot Pathway and the Accelerate Pilot Pathway.;1
48;Cebu Pacific;5;2017-10-13;6,2;78;0,00042;104;0,06;1;1;Cebu Pacific has a pilot training program in partnership with Airworks Aviation.;1
49;ZipAir;0;NULL;1,5;4;0;0;-0,01;0;1;ZipAir has a pilot training program through the Pilot Career Center (PCC);1
50;SKY Airline;1;2012-07-18;4;14;0;0;1,4;1;1;Sky Airline does not offer pilot training.;1
51;Air Baltic;0;NULL;4,3;50;0;0;0,03;1;1;airBaltic offers pilot training through its Pilot Academy.;1
