id;airline_name;recent_incident_flag;fatalities_per_aircraft;fleet_age;fleet_size;rate_incidents;profitability;pilot_training;safety_score;low_cost
10;Korean Air;0;2;10,3;159;0,015;0,52;Korean Air partners with the Flight Education Center at Korea Aerospace University to train pilots.;1,526;No
13;TAP Portugal;0;1;13,2;80;0,01;0,065;TAP Air Portugal has a pilot training center at the Cascais Municipal Aerodrome.;1,607;No
1;Air New Zealand;0;2;10,4;112;0;0,104;Air New Zealand invests heavily in pilot training and development, contributing to its reputation as one of the safest airlines in the world.;1,6192;No
26;United Airlines;0;2;16,5;915;0,001;2;United Airlines operates its United Aviate Academy, which trains aspiring pilots and provides pathways to becoming part of the United Airlines team.;1,85;No
18;Iberia;0;4;9,6;135;0,003;0,456;Iberia offers a pilot training program called Iberia Cadetes.;2,0688;No
22;JAL;0;4;11,2;167;0,002;0,98;Japan Airlines (JAL) offers pilot training at its training center in Haneda Airport, Tokyo.;2,124;No
30;easyJet;0;0;7;300;0,0005;3;easyJet offers a pilot training program called Generation easyJet.;0,1;Yes
50;SKY Airline;0;0;4;14;0;1,4;Sky Airline does not offer pilot training.;0,12;Yes
34;VietJet Air;0;0;4;70;0,0014;0,11;VietJet Air offers pilot training through its own training programs, including cooperation with various international training organizations.;0,378;Yes
29;Ryanair;0;0;6;450;0,0003;1;Ryanair has a pilot training program called the Future Flyer Academy.;0,4;Yes
51;Air Baltic;0;0;4,3;50;0;0,03;airBaltic offers pilot training through its Pilot Academy.;0,424;Yes
45;IndiGo;0;0;4,6;393;0;0,17;IndiGo Airlines offers pilot training through the IndiGo Cadet Pilot Program.;0,426;Yes
31;Frontier Airlines;0;0;4,5;125;0,0012;0,09;Frontier Airlines offers pilot training programs, including the Frontier Airlines Pilot Cadet Program.;0,432;Yes
33;Wizz Air;0;0;5,5;170;0,0019;0,2;Wizz Air offers a pilot training program called the Wizz Air Pilot Academy (WAPA).;0,51;Yes
37;flydubai;0;0;5,3;65;0,0007;0,04;The Dubai-based airline has a training center and a full-flight simulator facility.;0,522;Yes
27;Hong Kong Express;0;0;6,1;27;0;0,03;HK Express has a pilot training program in partnership with the Hong Kong International Aviation Academy (HKIAA).;0,604;Yes
36;Volaris;0;0;7;100;0,0021;0,2;Volaris has partnered with Airbus to manage the training programs and ensure they meet all regulatory requirements.;0,66;Yes
28;Jetstar Group;0;0;7;58;0,0005;0,05;Jetstar Airways has a pilot training program called the Jetstar Cadet Pilot Program.;0,69;Yes
32;AirAsia;0;0;9,2;210;0,0021;0,19;AirAsia offers a cadet pilot program. The program is designed to train aspiring pilots to become Multi-Crew Pilot License (MPL) holders and Second Officers for the airline.;0,882;Yes
42;WestJet;0;0;9,2;200;0,00012;0,18;WestJet offers pilot training through its Flightpath Pilot Program at its campus in Calgary, Alberta.;0,884;Yes
39;Vueling;0;0;9,2;100;0,0001;0,06;Vueling Airlines offers pilot training through its Cadet Pilot Programme and Mentored Airline Pilot Scheme (MAPS).;0,908;Yes
48;Cebu Pacific;0;1;6,2;78;0,00042;0,06;Cebu Pacific has a pilot training program in partnership with Airworks Aviation.;0,908;Yes
35;Southwest Airlines;0;0;13,5;760;0,0009;2,1;Southwest Airlines offers pilot training programs through the Destination 225° program.;0,93;Yes
44;Air Arabia;0;0;9,9;68;0;0,14;Air Arabia offers pilot training through its A320 Airline Pilot Training Programme and its MPL Cadet Pilot Program.;0,962;Yes
40;Jet2;0;0;15,4;117;0;0,05;"Jet2 offers pilot training programs, including a Pilot Apprentice program and direct entry positions. ";1,53;Yes
41;Sun Country Airlines;0;0;17,5;57;0;0,1;Sun Country Airlines offers pilot training programs such as the Sun Country Direct Program, the College Bridge Program, and an in-house training program.;1,73;Yes
